,Filename,total_score,description_score,education_score,experience_score,skills_score,projects_score
60,24913648,0.27700067624377045,0.29750169060942605,0.7899999999999999,0,0,0
71,27295996,0.2723966136965705,0.18099153424142617,1,0,0,0
82,29075857,0.2716592247660088,0.23914806191502197,0.8799999999999999,0.415,0,0
97,39718499,0.2685083714955488,0.321270928738872,0.7,0,0,0
34,18176523,0.26825496260851345,0.32063740652128364,0.7,0,0,0
16,13477922,0.26745759226978677,0.318643980674467,0.7,0,0,0
66,26480367,0.26314345490911006,0.30785863727277524,0.7,0,0,0
52,23527321,0.2622128449714762,0.21553211242869044,0.8799999999999999,0,0,0
69,26801767,0.25779642928048985,0.14449107320122462,1,0,0,0
112,81761658,0.25686430446951075,0.2471607611737769,0.7899999999999999,0,0,0
75,27770859,0.25424669852453896,0.28561674631134737,0.7,0,0,0
68,26768723,0.25398100770381543,0.13495251925953855,1,0,0,0
17,13836471,0.24951960576422563,0.2737990144105641,0.7,0,0,0
15,13405733,0.24727027099163856,0.11817567747909635,1,0,0,0
19,15118506,0.24654079480910657,0.22135198702276643,0.7899999999999999,0,0,0
118,91697974,0.24575721057982466,0.21939302644956166,0.7899999999999999,1,0,0
119,92069209,0.24537090232286032,0.2184272558071508,0.7899999999999999,0,0,0
23,15802627,0.23909595094205066,0.2477398773551267,0.7,0,0,0
95,38753827,0.22864277595560978,0.22160693988902447,0.7,1,0,0
87,32959732,0.22322604349827374,0.20806510874568437,0.7,0,0,0
1,10247517,0.21255948567803679,0.13639871419509192,0.7899999999999999,0,0,0
25,16533554,0.21198100770381542,0.13495251925953855,0.7899999999999999,0,0,0
53,23666211,0.19835951843442032,0.14589879608605083,0.7,0,0,0
26,16899268,0.1939810077038154,0.13495251925953855,0.7,0,0,0
89,33381211,0.1939810077038154,0.13495251925953855,0.7,0,0,0
88,33241454,0.1879951057915786,0.3199877644789465,0.3,0,0,0
38,19201175,0.1875584898222341,0.4688962245555852,0,0,0,0
79,28697203,0.17978500546222476,0.44946251365556183,0,1,0,0
20,15297298,0.1756024924219188,0.08900623105479706,0.7,0,0,0
61,25207620,0.16761373255047374,0.4190343313761843,0,1,0,0
107,64017585,0.16315756713008828,0.40789391782522066,0,0,0,0
80,28897981,0.1630063622675713,0.4075159056689282,0,0,0,0
11,12334140,0.16223723692367528,0.05559309230918824,0.7,0,0,0
117,91635250,0.16011389704930162,0.40028474262325403,0,0,0,0
100,46260230,0.1573566916638961,0.3933917291597402,0,1,0,0
54,23864648,0.15625839617359763,0.39064599043399406,0,0,0,0
116,91121135,0.15435538650339842,0.38588846625849604,0,0,0,0
41,20001721,0.15022002032268522,0.375550050806713,0,0,0,0
106,57002858,0.14676984793972492,0.3669246198493123,0,0,0,0
48,21283365,0.1458300592890563,0.3645751482226407,0,0,0,0
43,20237244,0.1395417330907224,0.348854332726806,0,0,0,0
81,29051656,0.13683221403632595,0.3420805350908149,0,0,0,0
59,24889109,0.13050579048806094,0.17626447622015234,0.3,0,0,0
37,18752129,0.12716783695220585,0.3179195923805146,0,0,0,0
49,21780877,0.11551798327484529,0.2887949581871132,0,1,0,0
115,90867631,0.11504561019598443,0.28761402548996107,0,0,0,0
56,24038620,0.11418105541976667,0.24045263854941665,0.09,0,0,0
9,11957080,0.11378129595141136,0.2844532398785284,0,0,0,0
63,25905275,0.11067170913444838,0.2766792728361209,0,0,0,0
57,24083609,0.10903979069572195,0.27259947673930485,0,0,0,0
73,27485716,0.10803337347724391,0.2700834336931098,0,0,0,0
7,11580408,0.10399475393088203,0.25998688482720506,0,0,0,0
92,36856210,0.10392586513083263,0.25981466282708154,0,0,0,0
58,24230851,0.10205736919869196,0.2551434229967299,0,0,0,0
85,31111279,0.0983222738539936,0.24580568463498398,0,0,0,0
31,17987433,0.09563729762613299,0.23909324406533244,0,-0.165,0,0
108,66832845,0.08998100770381542,0.13495251925953855,0.18,0,0,0
21,15651486,0.07919350663468408,0.19798376658671019,0,0,0,0
104,52246737,0.07448414208311185,0.18621035520777962,0,1,0,0
39,19796840,0.06329374742302804,0.1582343685575701,0,0,0,0
62,25857360,0.05398100770381542,0.13495251925953855,0,0,0,0
5,10839851,0.05398100770381542,0.13495251925953855,0,0,0,0
27,17111768,0.0539810077038154,0.1349525192595385,0,0,0,0
